game_id,paper_key
28,7
23,7
59,12
58,12
60,12
55,12
61,13
62,13
64,13
63,13
55,15
259,16
549,16
577,19
55,19
441,20
178,22
518,22
350,22
64,22
440,23
611,23
55,24
369,25
587,25
282,26
341,27
55,27
219,28
532,28
220,28
71,29
259,29
549,29
609,30
143,31
503,31
187,31
189,31
230,31
533,31
238,31
538,31
327,31
573,31
364,31
586,31
384,31
592,31
390,31
596,31
422,31
608,31
426,31
444,31
474,31
480,31
481,31
628,31
482,31
71,32
276,32
553,32
153,33
339,33
578,33
230,34
426,34
533,34
282,35
62,36
64,36
57,38
56,38
413,39
605,39
259,41
549,41
194,42
264,42
374,42
588,42
404,42
265,44
420,45
608,45
203,46
238,48
454,48
538,48
278,49
55,50
532,51
217,51
394,51
154,53
194,53
213,53
223,53
225,53
273,53
315,53
325,53
341,53
386,53
473,53
530,53
55,53
593,53
620,53
470,57
455,58
572,58
341,60
55,60
181,62
229,62
355,62
582,62
366,62
587,62
259,63
549,63
389,65
100,67
193,67
219,67
225,67
245,67
300,67
347,67
364,67
378,67
526,67
532,67
563,67
586,67
590,67
341,68
55,68
243,69
172,70
341,71
55,71
412,72
605,72
225,73
147,74
251,75
413,76
605,76
259,77
549,77
365,79
586,79
112,80
116,80
151,80
194,80
198,80
208,80
259,80
57,80
366,80
374,80
377,80
506,80
23,80
549,80
56,80
587,80
589,80
588,80
590,80
341,81
55,81
431,82
609,82
259,83
549,83
417,84
607,84
80,86
322,86
391,86
487,86
596,86
178,87
518,87
439,88
440,88
611,88
259,89
549,89
259,92
549,92
263,95
108,96
256,97
282,97
441,98
80,99
389,99
487,99
76,101
259,103
549,103
417,104
607,104
178,105
179,105
180,105
518,105
172,106
273,107
452,107
617,107
363,108
62,109
64,109
80,110
487,110
417,111
607,111
328,112
57,113
56,113
242,115
542,115
80,116
487,116
212,117
529,117
259,117
549,117
62,118
64,118
473,120
620,120
317,121
522,121
362,121
585,121
413,123
605,123
223,125
62,125
64,125
259,126
549,126
152,127
507,127
473,127
620,127
73,128
152,128
507,128
473,128
620,128
284,129
285,129
286,129
287,129
424,129
477,129
556,129
557,129
570,129
441,130
437,131
610,131
207,132
232,132
534,132
330,132
347,132
55,133
441,134
417,135
607,135
225,136
363,136
203,137
363,137
55,138
80,139
487,139
341,140
55,140
282,141
370,142
587,142
121,143
352,143
353,143
581,143
120,144
121,144
122,144
497,144
214,144
531,144
215,144
351,144
353,144
581,144
410,144
604,144
427,144
457,144
466,144
282,145
444,145
454,145
62,146
64,146
341,147
55,147
487,148
389,148
203,149
124,150
219,150
244,150
335,150
348,150
349,150
364,150
459,150
461,150
469,150
532,150
543,150
577,150
580,150
586,150
619,150
151,151
198,151
330,151
421,151
430,151
506,151
608,151
609,151
418,152
607,152
420,152
608,152
172,153
107,154
493,154
172,155
364,156
586,156
459,157
619,157
460,157
259,158
549,158
324,159
435,159
282,160
219,161
532,161
118,162
204,162
293,162
94,164
382,164
441,164
393,165
423,167
341,168
55,168
259,169
549,169
62,169
64,169
259,171
549,171
71,173
259,173
549,173
416,173
172,174
146,175
162,175
510,175
304,175
564,175
417,176
607,176
413,177
605,177
341,181
55,181
259,182
549,182
588,183
113,183
264,183
374,183
434,183
243,184
389,184
433,184
194,185
481,187
628,187
473,188
620,188
273,189
202,191
28,191
259,191
417,191
23,191
549,191
607,191
411,192
605,192
299,193
301,193
302,193
303,193
563,193
266,194
354,194
361,194
453,194
80,195
487,195
404,195
81,196
487,196
330,197
236,199
124,200
282,200
288,200
57,200
315,200
355,200
386,200
56,200
582,200
593,200
303,201
563,201
80,202
487,202
269,203
345,203
71,207
282,207
384,207
485,207
592,207
255,208
55,210
117,211
173,211
206,211
495,211
515,211
121,213
168,213
418,214
607,214
276,215
553,215
225,216
418,216
607,216
608,217
71,218
149,221
505,221
103,222
492,222
417,222
607,222
55,223
360,223
481,223
628,223
55,224
341,224
56,225
57,225
315,225
587,225
589,225
80,226
487,226
420,227
608,227
201,228
66,229
279,229
219,230
532,230
270,231
198,232
395,232
181,233
200,239
203,239
389,240
429,240
609,240
115,241
209,241
350,241
491,241
529,241
64,241
417,242
607,242
57,243
56,243
345,243
62,244
64,244
425,245
23,245
413,246
605,246
57,247
56,247
175,248
516,248
242,248
542,248
62,248
64,248
71,250
116,250
161,250
197,250
28,250
258,250
397,250
527,250
23,250
549,250
598,250
320,251
259,252
549,252
258,253
259,253
549,253
76,255
154,256
246,256
307,256
57,256
333,256
473,256
544,256
56,256
620,256
259,257
549,257
69,258
483,258
218,259
532,259
278,260
62,262
64,262
222,263
532,263
259,263
549,263
271,263
551,263
